logz logzerr logvol nlive logl logwt insert_order
-1.150420039771530781e+14 1.362360003046234570e+13 -2.033333333333330883e-01 3.000000000000000000e+02 -1.125855392678493281e+14 -1.125855392678552344e+14 2.999999999999999889e-01
-1.125855392678552344e+14 1.239586397530648242e+13 -2.066666666666664154e-01 3.000000000000000000e+02 -9.826242314217943750e+13 -9.826242314218534375e+13 1.453333333333333366e+00
-9.826242314218534375e+13 1.743254386053610156e+13 -2.099999999999997424e-01 3.000000000000000000e+02 -8.592218037601612500e+13 -8.592218037602204688e+13 5.200000000000000178e-01
-8.592218037602204688e+13 4.598936947331754883e+12 -2.133333333333330695e-01 3.000000000000000000e+02 -7.539208796467015625e+13 -7.539208796467607812e+13 8.733333333333332948e-01
-7.539208796467607812e+13 6.714222241691229492e+12 -2.166666666666663965e-01 3.000000000000000000e+02 -7.054388169648653125e+13 -7.054388169649245312e+13 2.666666666666666630e-01
-7.054388169649245312e+13 7.421028453116157227e+12 -2.199999999999997236e-01 3.000000000000000000e+02 -6.860393194205026562e+13 -6.860393194205618750e+13 1.193333333333333357e+00
-6.860393194205618750e+13 7.981850345913366211e+12 -2.233333333333330506e-01 3.000000000000000000e+02 -6.710934451148801562e+13 -6.710934451149394531e+13 6.133333333333332860e-01
-6.710934451149394531e+13 8.599094470706191406e+12 -2.266666666666663776e-01 3.000000000000000000e+02 -5.739394258762813281e+13 -5.739394258763406250e+13 5.333333333333333676e-02
-5.739394258763406250e+13 4.206892437019531738e+12 -2.299999999999997047e-01 3.000000000000000000e+02 -5.732186073527221094e+13 -5.732186073527814844e+13 1.073333333333333250e+00
-5.732186073527814844e+13 2.698077364677969238e+12 -2.333333333333330317e-01 3.000000000000000000e+02 -5.369368601191845312e+13 -5.369368601192439062e+13 2.133333333333333470e-01
-5.369368601192439062e+13 3.743987973819346680e+12 -2.366666666666663588e-01 3.000000000000000000e+02 -4.881008297155460938e+13 -4.881008297156055469e+13 2.200000000000000011e-01
-4.881008297156055469e+13 3.185617921337027344e+12 -2.399999999999996858e-01 3.000000000000000000e+02 -4.797180772800317969e+13 -4.797180772800912500e+13 1.746666666666666590e+00
-4.797180772800912500e+13 4.132752684198216553e+11 -2.433333333333330128e-01 3.000000000000000000e+02 -4.474888195312286719e+13 -4.474888195312881250e+13 1.840000000000000080e+00
-4.474888195312881250e+13 1.774149729509103271e+12 -2.466666666666663399e-01 3.000000000000000000e+02 -4.446606019419460938e+13 -4.446606019420056250e+13 8.466666666666666785e-01
-4.446606019420056250e+13 7.816780474336474609e+10 -2.499999999999996669e-01 3.000000000000000000e+02 -3.756662605740254688e+13 -3.756662605740850000e+13 2.600000000000000089e-01
-3.756662605740850000e+13 3.430130899544206543e+12 -2.533333333333330217e-01 3.000000000000000000e+02 -3.304327562076057812e+13 -3.304327562076653516e+13 5.333333333333333676e-02
-3.304327562076653516e+13 4.516666967647029297e+12 -2.566666666666663765e-01 3.000000000000000000e+02 -3.077635102572357031e+13 -3.077635102572953125e+13 8.000000000000000167e-02
