16:57:57 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run5, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run6, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [INFO] Sampling 300 live points from prior ...
17:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
17:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
17:01:40 [ultranest] [DEBUG] iteration=930, ncalls=1789, regioncalls=6912, ndraw=128, logz=-27364.02, remainder_fraction=100.0000%, Lmin=-27351.77, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=938, ncalls=1803, regioncalls=7040, ndraw=128, logz=-27311.15, remainder_fraction=100.0000%, Lmin=-27296.70, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=960, ncalls=1828, regioncalls=7552, ndraw=128, logz=-27199.76, remainder_fraction=100.0000%, Lmin=-27188.36, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=990, ncalls=1873, regioncalls=8320, ndraw=128, logz=-27005.83, remainder_fraction=100.0000%, Lmin=-26996.84, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1005, ncalls=1892, regioncalls=8832, ndraw=128, logz=-26961.90, remainder_fraction=100.0000%, Lmin=-26951.66, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1020, ncalls=1914, regioncalls=9344, ndraw=128, logz=-26890.71, remainder_fraction=100.0000%, Lmin=-26870.14, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1050, ncalls=1960, regioncalls=10496, ndraw=128, logz=-26792.40, remainder_fraction=100.0000%, Lmin=-26777.79, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1080, ncalls=1995, regioncalls=11520, ndraw=128, logz=-26704.42, remainder_fraction=100.0000%, Lmin=-26692.56, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1110, ncalls=2041, regioncalls=12800, ndraw=128, logz=-26658.03, remainder_fraction=100.0000%, Lmin=-26647.35, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1139, ncalls=2084, regioncalls=13952, ndraw=128, logz=-26641.48, remainder_fraction=100.0000%, Lmin=-26632.68, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1140, ncalls=2086, regioncalls=14080, ndraw=128, logz=-26641.08, remainder_fraction=100.0000%, Lmin=-26632.58, Lmax=-26551.16
17:01:40 [ultranest] [DEBUG] iteration=1170, ncalls=2137, regioncalls=15744, ndraw=128, logz=-26625.37, remainder_fraction=100.0000%, Lmin=-26615.71, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1200, ncalls=2183, regioncalls=17024, ndraw=128, logz=-26615.14, remainder_fraction=100.0000%, Lmin=-26607.15, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1230, ncalls=2238, regioncalls=18816, ndraw=128, logz=-26606.53, remainder_fraction=100.0000%, Lmin=-26597.58, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1260, ncalls=2298, regioncalls=21248, ndraw=128, logz=-26599.43, remainder_fraction=100.0000%, Lmin=-26591.02, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1273, ncalls=2327, regioncalls=22656, ndraw=128, logz=-26596.28, remainder_fraction=100.0000%, Lmin=-26587.54, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1290, ncalls=2357, regioncalls=23040, ndraw=128, logz=-26593.57, remainder_fraction=100.0000%, Lmin=-26585.51, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1320, ncalls=2440, regioncalls=23424, ndraw=128, logz=-26588.07, remainder_fraction=100.0000%, Lmin=-26579.78, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1340, ncalls=2468, regioncalls=23552, ndraw=128, logz=-26584.73, remainder_fraction=100.0000%, Lmin=-26576.41, Lmax=-26551.16
17:01:41 [ultranest] [DEBUG] iteration=1350, ncalls=2473, regioncalls=23680, ndraw=128, logz=-26583.22, remainder_fraction=100.0000%, Lmin=-26575.09, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1380, ncalls=2569, regioncalls=27008, ndraw=128, logz=-26579.12, remainder_fraction=100.0000%, Lmin=-26570.95, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1410, ncalls=2630, regioncalls=27264, ndraw=128, logz=-26576.46, remainder_fraction=100.0000%, Lmin=-26568.55, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1440, ncalls=2708, regioncalls=27648, ndraw=128, logz=-26574.53, remainder_fraction=100.0000%, Lmin=-26566.85, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1470, ncalls=2757, regioncalls=27904, ndraw=128, logz=-26572.67, remainder_fraction=99.9999%, Lmin=-26564.87, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1474, ncalls=2757, regioncalls=27904, ndraw=128, logz=-26572.42, remainder_fraction=99.9998%, Lmin=-26564.37, Lmax=-26550.07
17:01:41 [ultranest] [DEBUG] iteration=1500, ncalls=2828, regioncalls=29184, ndraw=128, logz=-26571.01, remainder_fraction=99.9995%, Lmin=-26563.56, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1530, ncalls=2867, regioncalls=29440, ndraw=128, logz=-26569.87, remainder_fraction=99.9986%, Lmin=-26562.28, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1541, ncalls=2895, regioncalls=29568, ndraw=128, logz=-26569.46, remainder_fraction=99.9979%, Lmin=-26561.94, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1560, ncalls=2918, regioncalls=30976, ndraw=128, logz=-26568.83, remainder_fraction=99.9968%, Lmin=-26561.32, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1590, ncalls=2988, regioncalls=32128, ndraw=128, logz=-26567.95, remainder_fraction=99.9916%, Lmin=-26560.63, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1620, ncalls=3050, regioncalls=33408, ndraw=128, logz=-26567.23, remainder_fraction=99.9837%, Lmin=-26559.92, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1650, ncalls=3136, regioncalls=35456, ndraw=128, logz=-26566.62, remainder_fraction=99.9712%, Lmin=-26559.39, Lmax=-26548.92
17:01:41 [ultranest] [DEBUG] iteration=1680, ncalls=3194, regioncalls=36864, ndraw=128, logz=-26566.08, remainder_fraction=99.9526%, Lmin=-26558.74, Lmax=-26548.92
