16:25:42 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [INFO] Sampling 300 live points from prior ...
16:32:01 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:32:01 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
16:32:01 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
16:32:04 [ultranest] [DEBUG] iteration=1890, ncalls=3051, regioncalls=112080, ndraw=40, logz=-1123955601.64, remainder_fraction=100.0000%, Lmin=-1123797605.72, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1920, ncalls=3099, regioncalls=114000, ndraw=40, logz=-1120567030.58, remainder_fraction=100.0000%, Lmin=-1120471527.73, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1943, ncalls=3130, regioncalls=115320, ndraw=40, logz=-1117231715.51, remainder_fraction=100.0000%, Lmin=-1117225551.54, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1950, ncalls=3142, regioncalls=115840, ndraw=40, logz=-1116765021.57, remainder_fraction=100.0000%, Lmin=-1116670698.04, Lmax=-1083300719.53
16:32:04 [ultranest] [DEBUG] iteration=1980, ncalls=3188, regioncalls=117680, ndraw=40, logz=-1114481084.65, remainder_fraction=100.0000%, Lmin=-1114470971.29, Lmax=-1082693040.11
16:32:04 [ultranest] [DEBUG] iteration=2010, ncalls=3231, regioncalls=119400, ndraw=40, logz=-1112401199.84, remainder_fraction=100.0000%, Lmin=-1111897882.55, Lmax=-1082693040.11
16:32:04 [ultranest] [DEBUG] iteration=2040, ncalls=3271, regioncalls=121080, ndraw=40, logz=-1110111732.24, remainder_fraction=100.0000%, Lmin=-1110021504.01, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2070, ncalls=3316, regioncalls=122880, ndraw=40, logz=-1107024148.87, remainder_fraction=100.0000%, Lmin=-1106999586.12, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2077, ncalls=3324, regioncalls=123240, ndraw=40, logz=-1106499720.35, remainder_fraction=100.0000%, Lmin=-1106381117.39, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2100, ncalls=3355, regioncalls=124560, ndraw=40, logz=-1104563765.65, remainder_fraction=100.0000%, Lmin=-1104385784.14, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2130, ncalls=3405, regioncalls=126600, ndraw=40, logz=-1102446354.79, remainder_fraction=100.0000%, Lmin=-1102388494.12, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2144, ncalls=3433, regioncalls=127760, ndraw=40, logz=-1101661924.99, remainder_fraction=100.0000%, Lmin=-1101657845.67, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2160, ncalls=3452, regioncalls=128640, ndraw=40, logz=-1100802242.09, remainder_fraction=100.0000%, Lmin=-1100727270.04, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2190, ncalls=3491, regioncalls=130200, ndraw=40, logz=-1099426168.94, remainder_fraction=100.0000%, Lmin=-1099287815.60, Lmax=-1082693040.11
16:32:05 [ultranest] [DEBUG] iteration=2220, ncalls=3540, regioncalls=132160, ndraw=40, logz=-1098116527.57, remainder_fraction=100.0000%, Lmin=-1098082572.57, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2250, ncalls=3585, regioncalls=134120, ndraw=40, logz=-1096782098.61, remainder_fraction=100.0000%, Lmin=-1096759179.33, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2278, ncalls=3637, regioncalls=136360, ndraw=40, logz=-1095977732.65, remainder_fraction=100.0000%, Lmin=-1095953546.92, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2280, ncalls=3639, regioncalls=136440, ndraw=40, logz=-1095914626.20, remainder_fraction=100.0000%, Lmin=-1095787493.22, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2310, ncalls=3677, regioncalls=137960, ndraw=40, logz=-1095201521.68, remainder_fraction=100.0000%, Lmin=-1095181709.67, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2340, ncalls=3732, regioncalls=140200, ndraw=40, logz=-1094447697.04, remainder_fraction=100.0000%, Lmin=-1094414312.59, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2370, ncalls=3787, regioncalls=142440, ndraw=40, logz=-1093790713.80, remainder_fraction=100.0000%, Lmin=-1093770503.33, Lmax=-1081711736.50
16:32:05 [ultranest] [DEBUG] iteration=2400, ncalls=3838, regioncalls=144560, ndraw=40, logz=-1093011385.83, remainder_fraction=100.0000%, Lmin=-1092978465.91, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2430, ncalls=3890, regioncalls=146800, ndraw=40, logz=-1092384250.70, remainder_fraction=100.0000%, Lmin=-1092383978.84, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2460, ncalls=3959, regioncalls=149760, ndraw=40, logz=-1091904550.63, remainder_fraction=100.0000%, Lmin=-1091893532.55, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2479, ncalls=3996, regioncalls=151400, ndraw=40, logz=-1091488061.97, remainder_fraction=100.0000%, Lmin=-1091484304.76, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2490, ncalls=4017, regioncalls=152240, ndraw=40, logz=-1091333368.71, remainder_fraction=100.0000%, Lmin=-1091295177.45, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2520, ncalls=4072, regioncalls=154480, ndraw=40, logz=-1090814883.28, remainder_fraction=100.0000%, Lmin=-1090797906.72, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2546, ncalls=4107, regioncalls=155920, ndraw=40, logz=-1090382896.13, remainder_fraction=100.0000%, Lmin=-1090349937.60, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2550, ncalls=4111, regioncalls=156080, ndraw=40, logz=-1090342278.31, remainder_fraction=100.0000%, Lmin=-1090327314.28, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2580, ncalls=4161, regioncalls=158320, ndraw=40, logz=-1089798776.98, remainder_fraction=100.0000%, Lmin=-1089793578.32, Lmax=-1081194426.05
16:32:05 [ultranest] [DEBUG] iteration=2610, ncalls=4211, regioncalls=160320, ndraw=40, logz=-1089355849.21, remainder_fraction=100.0000%, Lmin=-1089347081.68, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2640, ncalls=4286, regioncalls=163360, ndraw=40, logz=-1088958644.13, remainder_fraction=100.0000%, Lmin=-1088954984.46, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2670, ncalls=4354, regioncalls=166120, ndraw=40, logz=-1088706869.72, remainder_fraction=100.0000%, Lmin=-1088697049.51, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2680, ncalls=4386, regioncalls=167600, ndraw=40, logz=-1088623030.28, remainder_fraction=100.0000%, Lmin=-1088618498.98, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2700, ncalls=4428, regioncalls=169280, ndraw=40, logz=-1088451525.94, remainder_fraction=100.0000%, Lmin=-1088450205.66, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2730, ncalls=4487, regioncalls=171640, ndraw=40, logz=-1088127980.11, remainder_fraction=100.0000%, Lmin=-1088126871.87, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2747, ncalls=4522, regioncalls=173080, ndraw=40, logz=-1087966007.90, remainder_fraction=100.0000%, Lmin=-1087959462.34, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2760, ncalls=4537, regioncalls=173680, ndraw=40, logz=-1087792296.33, remainder_fraction=100.0000%, Lmin=-1087790649.92, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2790, ncalls=4595, regioncalls=176000, ndraw=40, logz=-1087499282.11, remainder_fraction=100.0000%, Lmin=-1087494668.56, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2814, ncalls=4637, regioncalls=177720, ndraw=40, logz=-1087333432.33, remainder_fraction=100.0000%, Lmin=-1087326523.14, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2820, ncalls=4651, regioncalls=178320, ndraw=40, logz=-1087299737.61, remainder_fraction=100.0000%, Lmin=-1087299555.61, Lmax=-1081194426.05
16:32:06 [ultranest] [DEBUG] iteration=2850, ncalls=4707, regioncalls=180560, ndraw=40, logz=-1087042546.48, remainder_fraction=100.0000%, Lmin=-1087006956.12, Lmax=-1080935096.96
