weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -5.944500194308561719e+13 1.733462945687227119e+01 3.585688827574264792e+01 1.430487505449271168e+00 2.577053040046654786e+01 2.270474254565367847e-02
0.000000000000000000e+00 -5.814775314439746094e+13 2.917653562530287203e+01 3.179593699607909940e+01 6.568362339742706002e-02 5.429949024761806697e+01 2.297974369794357832e-02
0.000000000000000000e+00 -4.705254750273092188e+13 1.141881706419413334e+01 5.997556162973677552e+00 4.912769641448502811e-01 5.194928141729764803e+01 2.656073822286887653e-02
0.000000000000000000e+00 -4.634318757243641406e+13 5.459753478871442134e+00 1.596116242616402126e+01 4.071517136877118581e-01 4.366200788353317108e+01 2.686478654184050116e-02
0.000000000000000000e+00 -4.368917475904946094e+13 6.752051397664492249e+00 2.088736954324397033e+01 8.860364917881553559e-01 5.762534911826801221e+01 2.795233699718300407e-02
0.000000000000000000e+00 -3.914992435374267188e+13 2.616476006229058626e+01 1.247556342522189254e+01 4.300099135721138222e-01 3.778865470237759183e+01 2.994780175114731408e-02
0.000000000000000000e+00 -3.876861199227507812e+13 1.227210959245431710e+01 4.230391832604544788e+01 1.185663025683079574e+00 5.628800324755479778e+01 3.025943374770640251e-02
0.000000000000000000e+00 -3.671613448946499219e+13 2.820459292387523220e+01 4.663880641682593975e+00 1.467240427210239506e+00 2.521304558486472391e+00 3.124240090125656247e-02
0.000000000000000000e+00 -3.257121217834383984e+13 1.465079688482559028e+01 2.961542032906091393e+01 4.856266288435463485e-01 3.384492004828538736e+00 3.387836300728905292e-02
0.000000000000000000e+00 -2.788383845278988281e+13 1.985851311789432927e+01 8.156212563789406289e+00 1.043473809976991351e-01 4.251943457636613743e+01 3.742186327497940002e-02
0.000000000000000000e+00 -2.453929784974444531e+13 3.283728186329591381e+01 1.080419763382662346e+01 1.497497343191629637e+00 1.943495559260766115e+01 4.059169996336815800e-02
