a_v a_s a_c a_sym sigma_sys
2.852791380145136557e+01 8.810642568873349845e+00 4.000304124039810727e-02 1.563714719035128375e+01 7.989051076724007544e+03
3.840613650710243121e+01 1.025358508541637192e+01 3.969311074484327406e-01 5.235034057472562097e+01 7.831385644673329807e+03
3.080088174323300265e+01 1.789065126643274439e+00 4.483995058060491479e-03 2.050536501177197124e+01 7.951255797093520414e+03
3.670578426429361940e+01 3.491776592254375089e+00 1.063820534543213014e+00 4.431631443528836201e+01 7.744984605841518714e+03
3.217801006932613461e+01 1.119578875329963985e+01 1.484338674155932791e-02 3.481609899047660406e+01 7.850558113817800404e+03
3.759683904070423921e+01 4.423506932035802031e+00 4.170776787166692312e-01 2.129971446186518946e+01 8.037883777936619481e+03
3.848395377568369469e+01 1.705041917852786071e+01 9.257659751976653473e-01 5.758720054821836953e+01 8.035836371964383943e+03
3.746904563057401560e+01 3.786251053508747333e+01 1.478446869271407005e-01 7.685985842890291408e+00 7.749889389880449926e+03
3.200742722040431687e+01 1.186669640178185503e+01 4.962869599927564601e-01 2.417505577015291962e+01 8.364696848303967272e+03
3.114040479133714712e+01 7.778030512414295217e+00 6.275388569193839361e-01 4.687679772785309495e+01 8.157985555273233331e+03
3.520941128136418286e+01 6.707153366820511886e-01 1.168395897890425861e+00 3.892204457295443376e+01 7.941732213079147186e+03
3.680223863239281457e+01 1.898519507843616339e+01 5.528211852699330686e-01 1.093819243756565740e+01 7.940889949801127841e+03
3.976102400437697781e+01 7.349910339087263544e+00 2.566735246033745588e-01 2.207259244653511843e+01 8.052838561752000714e+03
3.673499145612017713e+01 4.776071249385663720e+01 1.262358069802485883e+00 3.838858249214288065e+01 8.143494742416307417e+03
3.608974875109713309e+01 1.038926549898062879e+00 4.318241534270841342e-01 2.299168415498779794e+01 8.006440735313582991e+03
2.990840100569245052e+01 1.790562474258899917e+00 2.655872338752582884e-01 3.544217188542196695e+00 8.043807262516441369e+03
3.451665252837904774e+01 3.792939179937581429e+01 5.004282240435826701e-01 3.628330488951372335e+00 7.784639996902446910e+03
3.978996642048375776e+01 8.416970821771432298e+00 1.256510621688120999e+00 2.105715272936442162e+01 8.006228066816506725e+03
3.717266885428193035e+01 4.932902167243668856e+01 7.066453220352069131e-01 1.484658272881940100e+01 8.121292816920939003e+03
3.905208959477787545e+01 1.252865151881077388e+01 3.473184812638262509e-01 2.282543984473311838e+01 8.095108217817640252e+03
