weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -1.846376545114870361e+12 3.558010862302023458e-01 3.019407722291101992e-01 7.765636062369951631e-01 9.534996600060067218e-01 3.250687350858295632e-01
0.000000000000000000e+00 -1.770134590754372559e+12 1.796471025179908754e-01 5.899551278507654262e-01 3.613513075959710052e-01 2.902854188007673031e-01 3.265538568400608854e-01
0.000000000000000000e+00 -1.587747120377301270e+12 7.052891969758988688e-01 1.873683824733887171e-01 5.802717842218008126e-02 6.098176680860433185e-01 3.300560287370686297e-01
0.000000000000000000e+00 -1.457287958050888916e+12 2.559655137091504384e-01 6.467283167927353471e-01 6.355767251331961853e-01 1.847686242714356997e-01 3.331614346397296922e-01
0.000000000000000000e+00 -1.395817354105683594e+12 2.963002885907090045e-01 2.395257318481419651e-01 8.224537791819604982e-01 8.566563955145523046e-01 3.345920994140383353e-01
0.000000000000000000e+00 -1.334309918270696777e+12 6.323685062456626538e-01 2.162949645390171982e-01 2.505277703948181056e-01 3.781364391089466759e-01 3.359766589055357411e-01
0.000000000000000000e+00 -1.209502684712334229e+12 5.713170024093661148e-01 1.091817543736954832e-01 3.904018849871827568e-01 2.155588581057577002e-03 3.392959023120073470e-01
0.000000000000000000e+00 -1.096477380952809082e+12 8.773270881340555771e-01 3.834112082725374959e-01 3.747918062611584888e-01 8.537887191688474653e-01 3.425352179070197955e-01
0.000000000000000000e+00 -1.078447436356204712e+12 4.057532980748712603e-02 4.462683611143570817e-01 5.863468210436266759e-01 8.750315729729218894e-02 3.433376877592344556e-01
0.000000000000000000e+00 -1.012182879255364014e+12 2.087172543155142446e-01 4.051154074851309739e-01 9.912079692990938273e-02 4.772706042886726285e-01 3.453854703958342265e-01
0.000000000000000000e+00 -9.736729789781372070e+11 9.686863698892859142e-01 1.857047721620660452e-01 5.715942024153500833e-01 2.894769456454693302e-02 3.464635226536265655e-01
0.000000000000000000e+00 -9.184499324479841309e+11 2.645464919794794367e-01 1.942875792532301471e-01 9.675058302242456332e-01 3.518441819898852074e-01 3.486384603575072294e-01
0.000000000000000000e+00 -9.065290463534520264e+11 8.933818866072023024e-01 7.077470386718603956e-01 5.684742695780595767e-01 9.768751631425853788e-02 3.489122242558597708e-01
0.000000000000000000e+00 -8.432747618484519043e+11 3.229656222927491660e-01 9.506933638975583190e-01 3.430036939087938164e-01 8.326964924786531830e-01 3.514984598187256282e-01
0.000000000000000000e+00 -8.012445399929171143e+11 6.274825472470301202e-01 7.232472614007459111e-01 6.768994977405885516e-01 8.820244095781543114e-01 3.531077231642715253e-01
0.000000000000000000e+00 -6.527886810935554199e+11 9.109142589988287186e-01 8.607339507121958277e-02 1.536704679052511846e-01 7.210356004362759030e-01 3.597164057664709036e-01
0.000000000000000000e+00 -6.482154505842836914e+11 2.578477444571075639e-01 1.263779627992336341e-01 5.615412148103327006e-02 2.386581198438058049e-01 3.601248064393044457e-01
0.000000000000000000e+00 -6.227741428456354980e+11 5.751583391519945465e-01 2.124021882262970840e-01 4.441149303491265243e-03 7.745611747399380187e-01 3.613652597751288997e-01
0.000000000000000000e+00 -5.518610418858553467e+11 7.408300594391252769e-01 6.184707348026182716e-01 8.267197422891425784e-01 9.828496642549734430e-01 3.653722836934698570e-01
